ticker,chi_name
399975.CSI,证券公司(CSI)
399975.SZ,证券公司
399976.CSI,CS新能车(CSI)
399976.SZ,CS新能车
399983.CSI,地产等权(CSI)
399983.SZ,地产等权
399986.CSI,中证银行(CSI)
399986.SZ,中证银行
399987.CSI,中证酒(CSI)
399987.SZ,中证酒
399989.SZ,中证医疗
399990.SZ,煤炭等权
399991.SZ,一带一路
399992.SZ,CSWD并购
399993.SZ,CSWD生科
399994.SZ,信息安全
399995.SZ,基建工程
399996.SZ,中证智能家居
399997.SZ,中证白酒
399998.SZ,中证煤炭
899001.CSI,三板成指
899002.CSI,三板做市
899003.CSI,创新成指
899301.CSI,三板龙头
899302.CSI,三板制造
899303.CSI,三板服务
899304.CSI,三板医药
899305.CSI,三板消费
899306.CSI,三板研发
899307.CSI,三板活跃
930598.CSI,稀土产业
930599.CSI,中证高装
930601.CSI,软件服务
930606.CSI,中证钢铁
930607.CSI,中证汽车
930608.CSI,中证基建
930611.CSI,中小国改
930612.CSI,混合改革
930613.CSI,非周民企
930614.CSI,环保50
930615.CSI,中小医疗
930616.CSI,中证文体
930617.CSI,军工信息
930618.CSI,中证保险
930619.CSI,黄金采掘
930620.CSI,CSSW丝路
930621.CSI,CSSW高铁
930622.CSI,CSSW白酒
930623.CSI,CS娱乐
930624.CSI,CS医药
930625.CSI,陆港互联网
930626.CSI,陆港内地保险
930627.CSI,陆港互联网(HKD)
930628.CSI,陆港内地保险(HKD)
930629.CSI,CSSW健康
930632.CSI,CS稀金属
930633.CSI,中证旅游
930634.CSI,CS土改农
930635.CSI,CS智慧农
930636.CSI,陆港体育
930637.CSI,陆港彩娱
930638.CSI,陆港体育(HKD)
930639.CSI,陆港彩娱(HKD)
930640.CSI,CSWD重组
930641.CSI,中证中药
930642.CSI,中证核电
930643.CSI,CS轻资产
930644.CSI,港股通中国内地(HKD)
930645.CSI,港股通中国内地(CNY)
930648.CSI,CS智消费
930649.CSI,中证安防
930650.CSI,中证海洋
930651.CSI,CS计算机
930652.CSI,CS电子
930653.CSI,CS食品饮
930654.CSI,CS休闲娱
930658.CSI,CS汽车AM
930659.CSI,CS能源互
930660.CSI,CSSW体育
930661.CSI,CSSW互金
930662.CSI,CS现代农
930663.CSI,中证创投
930667.CSI,300精明
930668.CSI,300精明(HKD)
930669.CSI,300精明(USD)
